District,candidate_name,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 48,Carlos Barron,10.3,11/3/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 48,Carlos Barron,10.3,11/3/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 55,Rick Taggart,10.3,8/7/25,,,,,Other,Credit Card Processing Fee
House District 55,Rick Taggart,10.3,11/3/25,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
House District 55,Rick Taggart,10.3,12/1/25,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
House District 55,Rick Taggart,10.3,12/1/25,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
House District 55,Rick Taggart,10.3,12/3/25,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
House District 58,Larry Don Suckla,10.3,8/14/24,Anedot,New Orleans,LA,70112,Miscellaneous,"Anedot Transaction Fee
P Mckee"
House District 62,Evans Gonzalez,10.3,3/20/26,Anedot,Dallas,TX,75206,Bank Fees,Anedot Accounting Fee
House District 65,Lori Garcia Sander,10.3,12/6/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 12,Kyle Brown,10.29,11/2/25,Actblue Technical Services,Boston,MA,02196,Fundraising Expenses,
House District 13,Chris Floyd,10.28,6/30/25,Actblue Technical Services,Boston,MA,02196,Fundraising Expenses,Credit Card Processor Fees
House District 25,Tammy Story,10.28,7/13/25,Actblue,Sommerville,MA,02144,Fundraising Expenses,
House District 26,Meghan Lukens,10.28,12/31/25,Actbluetechnicalservices,Somerville,MA,02144,Fundraising Expenses,
House District 63,Dusty Johnson,10.27,12/12/24,J&L Cafe,Sterling,CO,80751,Other,7640 ∑ Meals
House District 25,Tammy Story,10.24,10/12/25,Actblue,Sommerville,MA,02144,Fundraising Expenses,
House District 36,Michael Carter,10.13,8/25/25,Mcdonald'S,Aurora,CO,80014,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 50,Ryan Gonzalez,10.13,1/20/26,,,,,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,10.13,1/29/26,,,,,Other,7640 ∑ Meals
House District 53,Andy Boesenecker,10.13,10/27/25,The Crooked Cup,Fort Collins,CO,80524,"Food, Beverages and Meals",
House District 56,Chris Richardson,10.13,3/5/25,Department Of Motor Vehicles,Denver,CO,80204,Miscellaneous,House Member License Plate
House District 47,Vic Meyers,10.12,2/13/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,10.11,4/13/26,Act Blue,Boston,MA,02196,Fundraising Expenses,
House District 36,Michael Carter,10.07,8/4/24,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 12,Kyle Brown,10.02,8/21/25,Blue Sparrow Coffee,Denver,CO,80203,"Food, Beverages and Meals",
House District 07,Jennifer Bacon,10,8/18/25,Cu Law School Boulder,Boulder,CO,80309,Travel & Lodging,Parking
House District 09,Monica VanBuskirk,10,11/3/25,1St Bank,Lakewood,CO,80215,Bank Fees,Internet Banking Fee
House District 10,Junie Joseph,10,9/29/25,Dia Parking,Denver,CO,80249,Travel & Lodging,Parking For Congressional Black Caucus Foundation Conference In Washington Dc- Paid Out Of Pocket By The Candidate And Will Be Reimbursed In Total By The Campaign.
House District 10,Junie Joseph,10,12/10/24,Dia Parking,Denver,CO,80249,Other,Parking At Dia
House District 10,Junie Joseph,10,10/27/25,Rtd,Denver,CO,80202,Other,Parking At Boulder Park 'N Ride: Bus To Airport To Attend Conference.
House District 11,Karen McCormick,10,11/13/25,16 Market Square Parking,Denver,CO,80202,Travel & Lodging,Parking For Meeting
House District 16,Steph Vigil,10,6/1/25,Denver Arts Complex,Denver,CO,80204,"Food, Beverages and Meals",
House District 16,Steph Vigil,10,12/7/25,Time Park Llc Lot 20,Denver,CO,80203,Travel & Lodging,Parking
House District 17,Regina English,10,12/12/25,Uber,San Francisco,CA,94158,Travel & Lodging,Conference Travel
House District 18,Amy T Paschal,10,8/22/25,Food To Power,Colorado Springs,CO,80903,Contributions,Tickets To Non-Profit Event
House District 24,Lisa Feret,10,6/16/25,Actblue,Somerville,MA,02144,Bank Fees,
House District 25,Tammy Story,10,1/23/25,Action Network,Washington,DC,20036,Advertising,
House District 25,Tammy Story,10,2/24/25,Action Network,Washington,DC,20036,Advertising,
House District 25,Tammy Story,10,3/23/25,Action Network,Washington,DC,20036,Advertising,
House District 25,Tammy Story,10,4/23/25,Action Network,Washington,DC,20036,Advertising,
House District 25,Tammy Story,10,5/23/25,Action Network,Washington,DC,20036,Advertising,
House District 25,Tammy Story,10,12/23/24,Action Network,Washington,DC,20036,Advertising,
House District 36,Michael Carter,10,7/31/25,Wells Fargo,Aurora,CO,80013,Bank Fees,Bank Service Fee
House District 37,Chad Clifford,10,11/22/25,"State Of Colorado, Secretary Of State",Denver,CO,80290,Other,Flag Case
House District 47,Ty Winter,10,7/28/25,Hi Lo Llc,Trinidad,CO,81082,Other,7214 ∑ Office Supplies
House District 47,Ty Winter,10,8/6/25,X Treme H20 Ltd,Lajuntas,CO,81050,Other,5140 ∑ Event Food & Beverage
House District 47,Ty Winter,10,9/15/25,X Corporation,San Francisco,CA,94103,Other,7390 ∑ Other Communications Expense
House District 52,Yara Zokaie,10,10/16/24,Wire Transfer Fee,Lakewood,CO,80215,Bank Fees,
House District 54,Jason Bias,10,4/27/26,Google Ads,Mountain View,CA,94043,Advertising,
House District 59,Katie Stewart,10,12/5/25,Rtd,Denver,CO,80202,Travel & Lodging,
House District 59,Katie Stewart,10,12/8/25,Rtd,Denver,CO,80202,Travel & Lodging,
House District 60,Michelle Gray,10,10/9/25,Facebook Meta,Menlo Park,CA,94025,Other,6141 ∑ Space Buys
House District 50,Ryan Gonzalez,9.99,1/27/25,,,,,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,2/26/25,,,,,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,3/26/25,,,,,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,4/28/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,5/27/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,6/26/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,7/28/25,,,,,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,8/26/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,9/26/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,1/26/26,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,2/26/26,Doordash,San Francisco,CA,94107,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,3/26/26,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,10/27/25,Doordash,San Francisco,CA,94107,Other,7640 ∑ Meals
House District 50,Ryan Gonzalez,9.99,11/26/25,Doordash,San Francisco,CA,94107,Other,7218 ∑ Dues And Subscriptions
House District 50,Ryan Gonzalez,9.99,12/26/25,Doordash,San Francisco,CA,94107,Other,7640 ∑ Meals
House District 19,Anil Pesaramelli,9.95,12/3/25,,,,,Office Equipment & Supplies,Printing Paper
House District 36,Michael Carter,9.93,9/30/25,Twisters,Aurora,CO,80017,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 50,Ryan Gonzalez,9.9,8/5/25,Uber,San Francisco,CA,94158,Other,7680 ∑ Transportation Service
House District 60,Michelle Gray,9.9,4/25/26,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 54,Jason Bias,9.89,10/30/25,Providence Engraving Llc,Tarpon Springs,FL,34689,Advertising,Name Tag For Candidate.
House District 13,Consuelo Redhorse,9.88,12/16/25,Actblue,Somerville,MA,02144,Fundraising Expenses,Processing Fee
House District 26,Meghan Lukens,9.88,10/26/25,Actbluetechnicalservices,Somerville,MA,02144,Fundraising Expenses,
House District 31,"Jacqueline ""Jacque"" Phillips",9.88,11/30/25,Actblue Llc,Somerville,MA,02144,Fundraising Expenses,Donor Processing Fees
House District 36,Michael Carter,9.88,2/12/23,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 36,Michael Carter,9.88,9/15/24,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 47,Vic Meyers,9.88,2/10/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/11/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/11/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/12/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/12/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/12/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/13/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,9.88,2/14/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 50,Tommy Butler,9.88,11/30/25,Act Blue,Cambridge,CO,02138,Fundraising Expenses,Act Blue Fee
House District 53,Andy Boesenecker,9.79,12/16/25,Cups Community Coffee,Fort Collins,CO,80521,"Food, Beverages and Meals",
House District 29,Lori Goldstein,9.78,8/24/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 36,Michael Carter,9.78,9/2/25,Tortilleria La Amapola,Aurora,CO,80017,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 12,Kyle Brown,9.75,8/19/25,Paul'S Coffee And Tea,Louisville,CO,80027,"Food, Beverages and Meals",
House District 12,Kyle Brown,9.75,9/17/25,Paul'S Coffee And Tea,Louisville,CO,80027,"Food, Beverages and Meals",
House District 41,Jamie Jackson,9.71,9/15/25,Office Depot,Aurora,CO,80014,Office Equipment & Supplies,
House District 33,Heidi Henkel,9.69,12/28/25,Actblue Technical Services,Boston,MA,02196-2017,Bank Fees,
House District 50,Ryan Gonzalez,9.69,12/6/24,,,,,Other,7640 ∑ Meals
House District 54,Jason Bias,9.69,1/22/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,"Anedot Fee, See Corresponding Contribution"
House District 33,Kenny Van Nguyen,9.68,12/31/25,Actblue,Boston,MA,02196,Bank Fees,
House District 28,David Rein,9.66,9/30/25,David  Rein,Littleton,CO,80162,Other,"Reimburse Candidate For Name Tags Purchased From Office Depot
14375 W Colfax Ave
Golden, Co"
House District 19,Jillaire McMillan,9.59,8/6/25,Office Max,Longmont,CO,80501,Fundraising Expenses,
House District 36,Michael Carter,9.56,8/25/25,Chick-Fil-A,Denver,CO,80249,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 11,Karen McCormick,9.5,12/19/25,Bakewell,Longmont,CO,80501,"Food, Beverages and Meals",Constituent Meeting
House District 12,Kyle Brown,9.5,11/4/25,Paul'S Coffee And Tea,Louisville,CO,80027,"Food, Beverages and Meals",
House District 36,Michael Carter,9.43,8/29/25,Chick-Fil-A,Denver,CO,80249,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 12,Kyle Brown,9.39,7/18/25,Blue Sparrow Coffee,Denver,CO,80203,"Food, Beverages and Meals",
House District 41,Jamie Jackson,9.39,11/17/25,Tous Les Jours,Aurora,CO,80014,"Food, Beverages and Meals",
House District 31,Gabriel Cervantes,9.31,12/14/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,Bank Fess
House District 44,Anthony Hartsook,9.3,1/13/26,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 60,Michelle Gray,9.3,8/16/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 65,Lori Garcia Sander,9.3,9/10/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 23,Alexis Hoffkling,9.29,5/11/25,Actblue,Somerville,MA,02144,Fundraising Expenses,Actblue Fee
House District 29,Lori Goldstein,9.29,4/27/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 36,Michael Carter,9.29,8/11/24,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 36,Michael Carter,9.24,4/16/25,Three Square Market,River Falls,WI,54022,"Food, Beverages and Meals",Meal Incurred While Serving In Capacity As Colorado State Rep.
House District 50,Ryan Gonzalez,9.22,9/22/25,,,,,Other,7640 ∑ Meals
House District 46,Jonathan Post,9.2,9/24/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 48,Carlos Barron,9.19,7/17/25,The University Club,Denver,CO,80203,Other,6890 ∑ Other Meeting Expense
House District 52,Yara Zokaie,9.19,3/5/25,32 Market Vending,River Falls,WI,84022,"Food, Beverages and Meals",
House District 60,Michelle Gray,9.13,10/7/25,Facebook Meta,Menlo Park,CA,94025,Other,6141 ∑ Space Buys
House District 64,Maureen (Mo) Dower,9.12,2/23/26,Fedex,Loveland,CO,80538,Fundraising Expenses,Flyers
House District 64,Maureen (Mo) Dower,9.11,3/30/26,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue 3/30/26
House District 30,Rebekah Stewart,9.08,6/30/25,The French Press,Lakewood,CO,80226,"Food, Beverages and Meals",Meeting
House District 50,Ryan Gonzalez,9.04,10/27/25,,,,,Other,7640 ∑ Meals
House District 36,Michael Carter,9.02,10/16/25,Chick-Fil-A,Greenwood Village,CO,80112,"Food, Beverages and Meals",
House District 11,Karen McCormick,9,1/22/25,Boulder County Democratic Party,Boulder,CO,80303,"Food, Beverages and Meals",Lunch On Reorg Day
House District 55,Rick Taggart,8.97,1/21/25,,,,,Office Equipment & Supplies,
House District 54,Jason Bias,8.96,4/19/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,"Anedot Fee, See Corresponding Contributions"
House District 18,Amy T Paschal,8.94,6/30/25,Actblue,Somerville,MA,02144,Bank Fees,
House District 19,Jillaire McMillan,8.91,12/21/25,Act Blue Technical Services,Somerville,MA,02144,Fundraising Expenses,
House District 49,Lesley Smith,8.91,8/20/25,Gravity Haus,Steamboat Springs,CO,80487,Travel & Lodging,
House District 36,Michael Carter,8.9,10/27/24,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 17,Regina English,8.89,12/28/25,Act Blue Technical Services,Boston,MA,02196-2017,Bank Fees,Act Blue Processing Fees
House District 17,Chauncy Johnson,8.89,10/26/25,Actblue Technical Services,Boston,MA,02196-2017,Other,Processing Fee
House District 18,Amy T Paschal,8.89,10/19/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 18,Amy T Paschal,8.89,10/26/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 29,Lori Goldstein,8.89,12/14/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 36,Michael Carter,8.89,4/23/23,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 47,Vic Meyers,8.89,3/5/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,8.89,3/21/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,8.89,3/29/26,Act Blue,Boston,MA,02196,Fundraising Expenses,
House District 53,Andy Boesenecker,8.89,11/9/25,Actblue Technical Services,Somerville,MA,02144,Bank Fees,
House District 64,Maureen (Mo) Dower,8.89,3/13/26,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue 3/13/26
House District 64,Maureen (Mo) Dower,8.89,3/14/26,Actblue Technical Services,Boston,MA,02196,Bank Fees,Actblue 3/14/26
House District 56,Chris Richardson,8.84,12/10/25,E-Bay,San Jose,CA,95125,Office Equipment & Supplies,Video Monitor Cable
House District 12,Kyle Brown,8.79,10/17/25,Prodigy Coffeehouse,Denver,CO,80205,"Food, Beverages and Meals",
House District 13,Consuelo Redhorse,8.75,10/17/25,Actblue,Somerville,MA,02144,Fundraising Expenses,Processing Fee
House District 24,Lisa Feret,8.72,9/7/25,Actblue,,,,Bank Fees,
House District 09,Monica VanBuskirk,8.7,11/23/25,Act Blue,Somerville,MA,02144,Fundraising Expenses,Fees On Contribution Disbursement Number: 401774939
House District 29,Lori Goldstein,8.69,6/1/25,Actblue Technical Services,Somerville,MA,02144,Fundraising Expenses,Actblue Contribution Processing Fee
House District 30,Rebekah Stewart,8.65,9/2/25,"Google, Llc",Mountain View,CA,94043,Other,Email
House District 30,Rebekah Stewart,8.65,10/2/25,"Google, Llc",Mountain View,CA,94043,Other,Email
House District 30,Rebekah Stewart,8.65,11/3/25,"Google, Llc",Mountain View,CA,94043,Other,Email
House District 30,Rebekah Stewart,8.65,12/1/25,"Google, Llc",Mountain View,CA,94043,Other,Email
House District 20,Jarvis Caldwell,8.6,12/7/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 43,Nate Marsh,8.6,1/5/26,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 44,Anthony Hartsook,8.6,1/12/26,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 60,Michelle Gray,8.6,9/9/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 36,Michael Carter,8.55,9/2/25,"Amazon, Inc.",Seattle,WA,98109,Entertainment,Digital Video For Event
House District 36,Michael Carter,8.55,9/11/25,Mobil,Denver,CO,80249,Travel & Lodging,Gas Expenses Incurred While Serving In Capacity As Colorado State Rep.
House District 43,Nate Marsh,8.5,3/30/26,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 10,Junie Joseph,8.45,7/14/25,7Th Street Parking,Denver,CO,80204,Other,Auraria Parking
House District 12,Kyle Brown,8.45,10/30/25,Paul'S Coffee And Tea,Louisville,CO,80027,"Food, Beverages and Meals",
House District 07,Jennifer Bacon,8.4,3/24/25,,,,,Other,Wix.Com - Website
House District 07,Jennifer Bacon,8.4,4/22/25,,,,,Other,Wix - Website
House District 07,Jennifer Bacon,8.4,5/22/25,,,,,Other,Wix - Website
House District 07,Jennifer Bacon,8.4,7/22/25,,,,,Other,Wix- Website Host
House District 07,Jennifer Bacon,8.4,8/22/25,Wix,San Fransico,CA,91909,Other,Website
House District 07,Jennifer Bacon,8.4,9/22/25,Wix,San Fransico,CA,91909,Other,Website
House District 07,Jennifer Bacon,8.4,10/20/25,Wix,San Fransico,CA,91909,Other,Wix
House District 07,Jennifer Bacon,8.4,11/24/25,,,,,Other,Wix - Website
House District 07,Jennifer Bacon,8.4,12/22/25,,,,,Other,Website - Wix
House District 11,Karen McCormick,8.4,8/21/25,Blue Sparrow,Denver,CO,80205,"Food, Beverages and Meals",
House District 13,Chris Floyd,8.4,6/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Email Services
House District 13,Chris Floyd,8.4,7/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Email Services
House District 13,Chris Floyd,8.4,8/4/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Email Services
House District 13,Chris Floyd,8.4,9/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Email Services
House District 13,Chris Floyd,8.4,10/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Google Mail Suite
House District 13,Chris Floyd,8.4,11/3/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Google Mail Suite
House District 13,Chris Floyd,8.4,12/2/25,Google,Mountain View,CA,94043,Office Equipment & Supplies,Google Mail Suite
House District 19,Colton Jonjak Plahn,8.4,7/12/25,Google Domains (Via Squarespace),Mountain View,CA,94043,Office Equipment & Supplies,Campaign Email Service Paid Personally By Candidate Before Campaign Account Opened. (Payment Type: In-Kind)
House District 19,Colton Jonjak Plahn,8.4,8/13/25,Google Domains (Via Squarespace),Mountain View,CA,94043,Other,Aug Squarespace Google Workspaces Email Subscription Paid Personally By Candidate Before Campaign Card Switch. (Payment Type: In-Kind)
House District 19,Colton Jonjak Plahn,8.4,9/14/25,Google Domains (Via Squarespace),Mountain View,CA,94043,Other,Sept Squarespace Google Workspaces Email Subscription Paid Personally By Candidate Before Campaign Card Switch. (Payment Type: In-Kind)
House District 19,Colton Jonjak Plahn,8.4,10/13/25,Google Domains (Via Squarespace),Mountain View,CA,94043,Other,"Oct Squarespace Google Workspace Payment, Personal Card (In-Kind). (Switched To Campagn Card After This)"
House District 19,Colton Jonjak Plahn,8.4,11/13/25,"Squarespace, Inc.",New York,NY,10014,Other,Xx6487 Debit Card 11/12 15:08 Sqsp* Work Sp#209 New York Ny 05013005 045759
House District 19,Colton Jonjak Plahn,8.4,12/15/25,"Squarespace, Inc.",New York,NY,10014,Other,Xx6487 Debit Card 12/12 15:09 Sqsp Work Sp#213 New York Ny 04527462 659412
House District 26,Meghan Lukens,8.4,9/2/25,Googleinc,Mountain View,CA,94043,Consultant & Professional Services,
House District 26,Meghan Lukens,8.4,10/2/25,Googleinc,Mountain View,CA,94043,Consultant & Professional Services,
House District 26,Meghan Lukens,8.4,11/3/25,Googleinc,Mountain View,CA,94043,Consultant & Professional Services,
House District 26,Meghan Lukens,8.4,12/2/25,Googleinc,Mountain View,CA,94043,Consultant & Professional Services,
House District 49,Lesley Smith,8.4,5/4/25,Squarespace,New York City,NY,01010,Office Equipment & Supplies,Website
House District 49,Lesley Smith,8.4,6/4/25,Squarespace,New York City,NY,01010,Office Equipment & Supplies,Website
House District 60,Michelle Gray,8.4,12/17/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 47,Vic Meyers,8.39,4/22/26,Act Blue,Boston,MA,02196,Fundraising Expenses,
House District 50,Ryan Gonzalez,8.34,1/12/26,,,,,Other,7640 ∑ Meals
House District 30,Rebekah Stewart,8.32,8/4/25,"Google, Llc",Mountain View,CA,94043,Other,Google Email
House District 19,Dan Woog,8.3,10/26/25,Anedot,Baton Rouge,LA,70808,Other,7820 ∑ Merchant Account Fees
House District 20,Jarvis Caldwell,8.3,11/3/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 43,Nate Marsh,8.3,4/16/26,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 43,Nate Marsh,8.3,12/4/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 43,Nate Marsh,8.3,12/23/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 46,Jonathan Post,8.3,9/27/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 47,Ty Winter,8.3,3/8/26,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 48,Carlos Barron,8.3,12/30/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 50,Ryan Gonzalez,8.3,1/12/26,Anedot,Baton Rouge,LA,70808,Other,7820 ∑ Merchant Account Fees
House District 50,Ryan Gonzalez,8.3,12/3/25,Anedot,Baton Rouge,LA,70808,Other,7820 ∑ Merchant Account Fees
House District 54,Jason Bias,8.3,2/2/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,Anedot Fee
House District 54,Jason Bias,8.3,4/4/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,Anedot Fee
House District 54,Jason Bias,8.3,4/16/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,Anedot Fee
House District 54,Jason Bias,8.3,4/24/26,Anedot Inc.,Dallas,CO,75206-5311,Bank Fees,Anedot Fee
House District 58,Larry Don Suckla,8.3,8/29/24,Anedot,New Orleans,LA,70112,Miscellaneous,Hogan
House District 60,Matt Alexander,8.3,11/20/25,Anedot,Dallas,TX,75206-5311,Bank Fees,
House District 60,Matt Alexander,8.3,12/31/25,Anedot,Dallas,TX,75206-5311,Bank Fees,
House District 64,Scott L. Slaugh,8.3,8/14/25,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 65,Lori Garcia Sander,8.3,12/3/25,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
House District 11,Karen McCormick,8.24,3/10/25,Pablo'S Coffee,Denver,CO,80203,"Food, Beverages and Meals",
House District 50,Ryan Gonzalez,8.22,2/17/26,,,,,"Food, Beverages and Meals",Coffee
House District 43,Nate Marsh,8.2,4/29/26,Anedot,New Orleans,LA,70117,Other,7820 ∑ Merchant Account Fees
House District 34,Jenny Willford,8.18,10/26/25,Actblue,Somerville,MA,02144,Fundraising Expenses,
House District 50,Ryan Gonzalez,8.18,2/3/26,Amazon,N Seattle,WA,98109,Other,7214 ∑ Office Supplies
House District 47,Vic Meyers,8.14,2/13/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 47,Vic Meyers,8.14,2/13/26,Act Blue,Boston,MA,02196,Fundraising Expenses,Ab
House District 11,Karen McCormick,8.1,6/30/25,Bakewell,Longmont,CO,80501,"Food, Beverages and Meals",
House District 33,Kenny Van Nguyen,8.1,8/1/25,Actblue,Boston,MA,02196,Bank Fees,
House District 26,Meghan Lukens,8.08,8/4/25,Googleinc,Mountain View,CA,94043,Consultant & Professional Services,
House District 10,Junie Joseph,8.04,1/15/25,King Soopers,Boulder,CO,80303,"Food, Beverages and Meals",Food For Meeting
House District 03,Gena Ozols,8,5/8/25,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 03,Gena Ozols,8,6/15/25,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 03,Gena Ozols,8,6/15/25,Neverbounce,Vancouver,WA,98660,Consultant & Professional Services,
House District 10,Junie Joseph,8,2/3/25,Walmart,Broomfield,CO,80021,Office Equipment & Supplies,Office Supplies
House District 10,Junie Joseph,8,10/14/25,Denver Arts Complex Parking,Denver,CO,80204,Other,Parking In Downtown Denver For An Event
House District 12,Kyle Brown,8,1/8/25,Denver Cultural Center Parking Garage,Denver,CO,80204,Miscellaneous,Parking
House District 12,Kyle Brown,8,8/12/25,Denver City And County Parking,Denver,CO,80202,Travel & Lodging,
House District 12,Kyle Brown,8,10/17/25,Laz Parking,Denver,CO,80202,Travel & Lodging,
House District 19,Jillaire McMillan,8,8/10/25,Act Blue Techinical Services,West Somerville,MA,2144,Fundraising Expenses,
House District 22,Michael Pierson,8,1/21/26,Denver Cultural Center,Denver,CO,80204,Travel & Lodging,Parking For Trip To Co Capital For Leg Session
House District 36,Michael Carter,8,12/31/25,Michael'S,Aurora,CO,80012,Office Equipment & Supplies,
House District 13,Chris Floyd,7.91,10/19/25,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processing Fees
House District 36,Michael Carter,7.91,9/29/24,Actblue Technical Services,Boston,MA,02196,Bank Fees,Donor Processor Fees
House District 37,Chad Clifford,7.91,3/5/25,Act Blue Inc.,Somerville,MA,02144,Bank Fees,
House District 50,Tommy Butler,7.91,2/15/26,Act Blue,Cambridge,CO,02138,Fundraising Expenses,Act Blue Fees
House District 06,Sean Camacho,7.9,8/24/25,"Actblue Technical Services, Inc.",Somerville,MA,02144,Fundraising Expenses,
